Customer ID,last_purchase,frequency,monetary,recency,R,F,M,RFM_score,RFM_total,Segment
12898,2010-09-02 08:08:00,2,310.96000000000004,464,1,2,1,121,4,Lost
12899,2010-10-22 09:53:00,1,366.4,414,1,1,2,112,4,Lost
12900,2010-10-13 15:17:00,1,340.33,422,1,1,2,112,4,Lost
12901,2011-12-01 10:07:00,28,17654.54,9,4,4,4,444,12,Champion
12902,2011-03-20 12:06:00,1,138.68,265,2,1,1,211,4,Hibernating
12903,2010-10-07 12:39:00,1,833.53,429,1,1,2,112,4,Lost
12904,2011-11-21 14:34:00,2,509.58,18,4,2,2,422,8,Potential Loyal
12905,2010-05-12 10:05:00,2,1018.42,577,1,2,3,123,6,Lost
12906,2011-11-28 09:55:00,5,2919.81,12,4,3,4,434,11,Champion
12907,2010-11-09 12:08:00,2,508.91,396,1,2,2,122,5,Lost
12908,2011-06-16 15:39:00,5,1776.0,176,2,3,3,233,8,Cannot Lose
12909,2011-10-31 12:43:00,8,3103.19,40,3,4,4,344,11,Loyal
12910,2011-11-16 14:28:00,13,5796.52,23,4,4,4,444,12,Champion
12911,2010-06-06 12:13:00,1,1680.47,552,1,1,3,113,5,Lost
12912,2011-12-07 08:55:00,5,1662.3,3,4,3,3,433,10,Champion
12913,2011-12-05 12:11:00,13,6700.860000000001,5,4,4,4,444,12,Champion
12914,2010-11-04 12:28:00,1,223.98,401,1,1,1,111,3,Lost
12915,2011-07-14 11:34:00,4,1174.75,149,2,3,3,233,8,Cannot Lose
12916,2011-07-24 10:35:00,7,4654.0199999999995,139,2,3,4,234,9,Cannot Lose
12917,2011-08-03 16:42:00,6,4359.2,128,2,3,4,234,9,Cannot Lose
12918,2010-03-23 15:22:00,1,10953.5,626,1,1,4,114,6,Lost
12919,2011-12-01 13:47:00,6,1335.19,8,4,3,3,433,10,Champion
12920,2011-11-22 15:05:00,4,488.09000000000003,17,4,3,2,432,9,Champion
12921,2011-11-30 16:22:00,74,35921.04,9,4,4,4,444,12,Champion
12922,2011-07-01 15:35:00,1,405.38,161,2,1,2,212,5,Hibernating
12923,2011-10-06 16:20:00,3,789.87,64,3,2,2,322,7,Potential Loyal
12924,2011-09-12 13:55:00,12,2469.4,88,3,4,4,344,11,Loyal
12925,2011-12-05 11:11:00,3,729.3299999999999,5,4,2,2,422,8,Potential Loyal
12926,2010-10-24 15:57:00,4,1548.46,411,1,3,3,133,7,Cannot Lose
12927,2010-11-10 10:02:00,1,197.31,395,1,1,1,111,3,Lost
12928,2011-11-04 14:24:00,12,4304.89,35,3,4,4,344,11,Loyal
12929,2011-02-01 12:08:00,1,117.85,312,2,1,1,211,4,Hibernating
12930,2011-09-22 15:18:00,2,415.8,78,3,2,2,322,7,Potential Loyal
12931,2011-11-18 12:39:00,57,92347.34,22,4,4,4,444,12,Champion
12932,2010-06-18 14:22:00,8,1698.56,539,1,4,3,143,8,Cannot Lose
12933,2011-11-15 16:38:00,8,1687.03,24,4,4,3,443,11,Champion
12934,2009-12-03 10:51:00,1,181.65,737,1,1,1,111,3,Lost
12935,2011-12-07 17:25:00,15,4243.86,2,4,4,4,444,12,Champion
12936,2011-11-22 17:32:00,4,1063.9,17,4,3,3,433,10,Champion
12937,2011-11-24 15:05:00,9,3097.61,15,4,4,4,444,12,Champion
12938,2011-11-14 11:21:00,1,114.14,26,4,1,1,411,6,New Customer
12939,2011-10-06 14:33:00,20,25264.8,64,3,4,4,344,11,Loyal
12940,2011-10-16 12:09:00,2,913.54,55,3,2,3,323,8,Potential Loyal
12941,2009-12-15 13:12:00,1,377.49,724,1,1,2,112,4,Lost
12942,2011-07-31 14:39:00,3,942.65,131,2,2,3,223,7,Hibernating
12943,2010-05-30 13:52:00,2,496.5,558,1,2,2,122,5,Lost
12944,2011-11-04 11:04:00,2,604.51,36,3,2,2,322,7,Potential Loyal
12945,2011-02-24 14:15:00,2,900.11,288,2,2,3,223,7,Hibernating
12946,2010-09-29 10:14:00,1,324.45,437,1,1,1,111,3,Lost
12947,2011-07-19 10:06:00,6,1908.03,144,2,3,3,233,8,Cannot Lose
12948,2011-11-23 17:10:00,9,2317.43,16,4,4,4,444,12,Champion
12949,2011-11-09 11:25:00,22,15526.7,31,3,4,4,344,11,Loyal
12950,2011-12-07 13:17:00,3,1843.0,2,4,2,3,423,9,Potential Loyal
12951,2011-12-01 12:14:00,15,3213.7200000000003,9,4,4,4,444,12,Champion
12952,2011-12-04 10:35:00,4,1387.79,6,4,3,3,433,10,Champion
12953,2011-11-30 09:24:00,2,828.8100000000001,10,4,2,2,422,8,Potential Loyal
12954,2010-03-11 10:16:00,1,162.45,639,1,1,1,111,3,Lost
12955,2011-12-08 16:29:00,11,4757.16,1,4,4,4,444,12,Champion
12956,2011-02-06 16:08:00,4,521.89,306,2,3,2,232,7,At Risk
12957,2011-11-30 09:53:00,13,8706.97,10,4,4,4,444,12,Champion
12958,2010-11-04 16:16:00,2,539.49,400,1,2,2,122,5,Lost
12959,2010-08-12 17:20:00,1,150.95,484,1,1,1,111,3,Lost
12960,2010-10-22 09:31:00,4,1322.07,414,1,3,3,133,7,Cannot Lose
12961,2010-11-25 16:44:00,1,211.99,379,2,1,1,211,4,Hibernating
12962,2011-12-02 15:55:00,2,266.39,7,4,2,1,421,7,Potential Loyal
12963,2011-12-01 12:55:00,12,3601.59,8,4,4,4,444,12,Champion
12964,2010-09-28 17:47:00,1,132.24,437,1,1,1,111,3,Lost
12965,2011-09-11 15:31:00,1,771.91,89,3,1,2,312,6,Lost
12966,2011-11-30 12:38:00,1,160.18,10,4,1,1,411,6,New Customer
12967,2010-12-16 19:10:00,3,4306.92,358,2,2,4,224,8,Hibernating
12968,2011-08-19 15:44:00,1,135.95,112,2,1,1,211,4,Hibernating
12969,2010-04-16 10:50:00,1,122.45,603,1,1,1,111,3,Lost
12970,2011-12-02 14:30:00,10,1524.97,7,4,4,3,443,11,Champion
12971,2011-12-06 12:20:00,116,15972.79,4,4,4,4,444,12,Champion
12972,2010-10-22 08:41:00,4,1161.2,414,1,3,3,133,7,Cannot Lose
12973,2010-10-22 10:14:00,1,385.55,414,1,1,2,112,4,Lost
12974,2011-05-26 09:33:00,2,408.95,198,2,2,2,222,6,Hibernating
12975,2010-09-29 09:46:00,6,2100.09,437,1,3,3,133,7,Cannot Lose
12976,2011-05-12 09:55:00,8,3156.38,212,2,4,4,244,10,Cannot Lose
12977,2011-07-06 16:40:00,4,517.63,156,2,3,2,232,7,At Risk
12978,2010-11-19 14:29:00,5,2502.82,385,1,3,4,134,8,Cannot Lose
12980,2011-07-05 09:34:00,21,16245.78,158,2,4,4,244,10,Cannot Lose
12981,2011-11-10 12:00:00,2,372.21999999999997,30,3,2,2,322,7,Potential Loyal
12982,2011-04-11 11:51:00,8,2744.81,243,2,4,4,244,10,Cannot Lose
12983,2010-04-20 12:58:00,1,490.08000000000004,598,1,1,2,112,4,Lost
12984,2011-11-21 12:37:00,1,97.5,19,4,1,1,411,6,New Customer
12985,2011-12-09 10:46:00,2,1239.38,1,4,2,3,423,9,Potential Loyal
12986,2010-10-07 11:57:00,10,2729.84,429,1,4,4,144,9,Cannot Lose
12987,2011-09-27 12:03:00,5,1312.21,74,3,3,3,333,9,Loyal
12988,2011-02-20 14:31:00,1,535.32,292,2,1,2,212,5,Hibernating
12989,2011-12-06 15:28:00,33,13551.75,3,4,4,4,444,12,Champion
12990,2011-11-08 13:01:00,7,955.5,31,3,3,3,333,9,Loyal
12991,2011-11-16 15:34:00,3,764.82,23,4,2,2,422,8,Potential Loyal
12992,2009-12-14 16:46:00,1,93.35000000000001,725,1,1,1,111,3,Lost
12993,2011-11-16 15:49:00,8,1259.6299999999999,23,4,4,3,443,11,Champion
12994,2011-12-05 15:43:00,3,974.4200000000001,4,4,2,3,423,9,Potential Loyal
12995,2011-09-15 15:44:00,1,211.32,85,3,1,1,311,5,Lost
12996,2010-11-29 09:27:00,1,355.5,376,2,1,2,212,5,Hibernating
12997,2011-11-17 15:47:00,8,2110.91,22,4,4,3,443,11,Champion
12998,2010-08-04 08:05:00,3,920.08,493,1,2,3,123,6,Lost
12999,2011-05-27 13:24:00,3,455.88,196,2,2,2,222,6,Hibernating
13000,2011-08-25 10:43:00,4,1032.5,107,2,3,3,233,8,Cannot Lose
13001,2011-12-05 14:51:00,33,24172.100000000002,4,4,4,4,444,12,Champion
13002,2011-01-25 15:18:00,3,414.13,318,2,2,2,222,6,Hibernating
13003,2011-08-26 10:50:00,3,149.05,106,2,2,1,221,5,Hibernating
13004,2011-11-28 11:27:00,36,11650.85,12,4,4,4,444,12,Champion
13005,2011-06-19 10:53:00,4,999.68,174,2,3,3,233,8,Cannot Lose
13006,2011-10-14 13:49:00,1,81.57,56,3,1,1,311,5,Lost
13007,2010-05-09 10:38:00,1,175.25,580,1,1,1,111,3,Lost
13008,2011-01-20 14:24:00,3,612.13,323,2,2,2,222,6,Hibernating
13009,2010-02-05 12:22:00,1,234.0,673,1,1,1,111,3,Lost
13010,2010-11-30 15:09:00,2,330.12,374,2,2,1,221,5,Hibernating
13011,2010-12-02 17:22:00,1,101.10000000000001,372,2,1,1,211,4,Hibernating
13012,2011-11-30 13:05:00,11,2972.83,9,4,4,4,444,12,Champion
13013,2011-12-08 15:01:00,29,12625.77,1,4,4,4,444,12,Champion
13014,2011-11-29 12:27:00,11,5381.08,11,4,4,4,444,12,Champion
13015,2011-10-17 13:19:00,11,6586.42,53,3,4,4,344,11,Loyal
13016,2011-09-27 14:08:00,3,789.89,73,3,2,2,322,7,Potential Loyal
13017,2011-12-02 15:53:00,1,204.0,7,4,1,1,411,6,New Customer
13018,2011-11-23 13:28:00,35,9763.16,16,4,4,4,444,12,Champion
13019,2010-11-25 14:56:00,6,1229.95,379,2,3,3,233,8,Cannot Lose
13020,2010-05-26 11:12:00,2,618.96,563,1,2,2,122,5,Lost
13021,2011-12-05 16:37:00,17,4887.24,4,4,4,4,444,12,Champion
13023,2011-10-06 16:27:00,3,1449.03,64,3,2,3,323,8,Potential Loyal
13024,2010-08-26 09:42:00,2,555.87,471,1,2,2,122,5,Lost
13025,2009-12-08 10:02:00,1,323.39,732,1,1,1,111,3,Lost
13026,2011-12-08 16:58:00,9,1733.08,1,4,4,3,443,11,Champion
13027,2011-08-18 09:39:00,19,17335.2,114,2,4,4,244,10,Cannot Lose
13028,2011-11-17 11:10:00,2,661.3199999999999,23,4,2,2,422,8,Potential Loyal
13029,2011-11-09 09:13:00,5,1927.3,31,3,3,3,333,9,Loyal
13030,2011-11-28 14:30:00,2,1227.22,11,4,2,3,423,9,Potential Loyal
13031,2010-10-28 15:34:00,5,3419.27,407,1,3,4,134,8,Cannot Lose
13032,2011-10-18 15:54:00,9,2843.55,52,3,4,4,344,11,Loyal
13033,2010-12-17 14:23:00,2,220.55,357,2,2,1,221,5,Hibernating
13034,2011-10-16 12:21:00,3,922.68,55,3,2,3,323,8,Potential Loyal
13035,2011-09-27 08:57:00,3,1364.2,74,3,2,3,323,8,Potential Loyal
13036,2010-01-24 11:35:00,1,307.1,685,1,1,1,111,3,Lost
13037,2011-07-24 15:46:00,12,3914.9500000000003,138,2,4,4,244,10,Cannot Lose
13038,2011-09-20 14:37:00,3,908.46,80,3,2,3,323,8,Potential Loyal
13039,2010-05-04 16:45:00,4,1010.73,584,1,3,3,133,7,Cannot Lose
13040,2011-12-01 10:38:00,2,676.99,9,4,2,2,422,8,Potential Loyal
13041,2010-09-15 11:44:00,4,799.13,451,1,3,2,132,6,At Risk
13042,2010-04-20 13:43:00,3,1556.54,598,1,2,3,123,6,Lost
13043,2011-03-11 14:52:00,1,516.42,273,2,1,2,212,5,Hibernating
13044,2011-02-21 15:20:00,11,4853.9,291,2,4,4,244,10,Cannot Lose
13045,2011-09-01 15:04:00,3,808.92,99,2,2,2,222,6,Hibernating
13046,2011-11-09 08:36:00,3,949.25,31,3,2,3,323,8,Potential Loyal
13047,2011-11-08 12:06:00,24,8795.16,32,3,4,4,344,11,Loyal
13048,2011-11-25 13:23:00,9,4084.21,14,4,4,4,444,12,Champion
13049,2011-10-06 15:31:00,4,1408.24,64,3,3,3,333,9,Loyal
13050,2011-11-25 09:18:00,35,12344.53,15,4,4,4,444,12,Champion
13051,2010-05-10 09:14:00,2,155.8,579,1,2,1,121,4,Lost
13052,2011-05-11 14:12:00,7,3168.53,212,2,3,4,234,9,Cannot Lose
13053,2010-03-28 11:28:00,1,127.65,622,1,1,1,111,3,Lost
13055,2011-09-22 14:26:00,4,2321.11,78,3,3,4,334,10,Loyal
13056,2010-06-06 14:10:00,1,209.48,551,1,1,1,111,3,Lost
13057,2010-06-27 15:44:00,3,722.09,530,1,2,2,122,5,Lost
13058,2011-11-15 12:43:00,3,271.40000000000003,25,4,2,1,421,7,Potential Loyal
13059,2011-04-04 10:40:00,10,2303.17,250,2,4,4,244,10,Cannot Lose
13060,2011-03-31 11:37:00,1,307.53,254,2,1,1,211,4,Hibernating
13061,2011-09-28 16:04:00,1,248.61,72,3,1,1,311,5,Lost
13062,2011-06-01 15:12:00,1,346.98,191,2,1,2,212,5,Hibernating
13063,2010-08-16 12:27:00,1,188.4,481,1,1,1,111,3,Lost
13064,2011-11-27 12:31:00,6,1680.74,13,4,3,3,433,10,Champion
13065,2010-12-01 16:52:00,5,1260.91,373,2,3,3,233,8,Cannot Lose
13066,2011-11-15 12:57:00,2,470.8,24,4,2,2,422,8,Potential Loyal
13067,2011-09-18 13:38:00,3,508.51,82,3,2,2,322,7,Potential Loyal
13068,2011-11-29 15:00:00,2,344.0,10,4,2,2,422,8,Potential Loyal
13069,2011-12-09 08:39:00,38,9683.13,1,4,4,4,444,12,Champion
13070,2011-05-31 13:45:00,4,751.7,192,2,3,2,232,7,At Risk
13071,2010-04-06 13:37:00,1,129.22,612,1,1,1,111,3,Lost
13072,2011-03-18 08:12:00,1,177.15,267,2,1,1,211,4,Hibernating
13073,2010-10-24 14:06:00,2,418.08,411,1,2,2,122,5,Lost
13074,2010-07-16 16:53:00,4,1378.74,511,1,3,3,133,7,Cannot Lose
13075,2011-08-02 10:19:00,1,919.61,130,2,1,3,213,6,Hibernating
13076,2010-09-08 10:27:00,1,135.4,458,1,1,1,111,3,Lost
13077,2011-12-08 19:24:00,11,3064.67,1,4,4,4,444,12,Champion
13078,2011-12-06 15:36:00,57,29532.45,3,4,4,4,444,12,Champion
13079,2011-12-05 16:53:00,6,419.18,4,4,3,2,432,9,Champion
13080,2011-06-13 14:59:00,4,280.73,179,2,3,1,231,6,At Risk
13081,2011-11-28 10:54:00,28,59205.15,12,4,4,4,444,12,Champion
13082,2011-08-05 16:16:00,21,7335.75,126,2,4,4,244,10,Cannot Lose
13083,2011-12-05 15:01:00,3,395.43,4,4,2,2,422,8,Potential Loyal
13084,2010-08-05 08:49:00,1,122.39999999999999,492,1,1,1,111,3,Lost
13085,2011-07-05 12:11:00,8,2433.28,158,2,4,4,244,10,Cannot Lose
13086,2010-11-22 10:28:00,1,439.33000000000004,383,1,1,2,112,4,Lost
13087,2009-12-13 15:16:00,1,313.64,726,1,1,1,111,3,Lost
13088,2010-10-18 15:35:00,1,236.11,417,1,1,1,111,3,Lost
13089,2011-12-07 09:02:00,203,116737.86,3,4,4,4,444,12,Champion
13090,2011-12-01 12:39:00,24,14103.09,9,4,4,4,444,12,Champion
13091,2011-11-11 15:54:00,3,2321.82,28,3,2,4,324,9,Potential Loyal
13092,2011-09-30 11:18:00,12,2140.28,71,3,4,3,343,10,Loyal
13093,2011-03-09 12:14:00,55,54943.65,276,2,4,4,244,10,Cannot Lose
13094,2011-11-18 14:07:00,13,2433.1200000000003,21,4,4,4,444,12,Champion
13095,2011-09-30 12:03:00,1,74.39999999999999,71,3,1,1,311,5,Lost
13096,2010-11-10 14:08:00,1,419.70000000000005,394,1,1,2,112,4,Lost
13097,2011-11-07 10:43:00,28,13389.22,33,3,4,4,344,11,Loyal
13098,2011-12-08 14:14:00,28,28882.44,1,4,4,4,444,12,Champion
13099,2011-09-01 17:40:00,1,207.35999999999999,99,2,1,1,211,4,Hibernating
13101,2011-04-19 14:37:00,4,695.4,234,2,3,2,232,7,At Risk
13102,2011-12-08 12:52:00,37,11696.92,1,4,4,4,444,12,Champion
13103,2011-10-31 09:38:00,3,709.64,40,3,2,2,322,7,Potential Loyal
13104,2011-12-06 13:10:00,9,1709.1,3,4,4,3,443,11,Champion
13105,2010-09-29 13:41:00,1,72.0,436,1,1,1,111,3,Lost
13106,2011-07-29 15:12:00,2,603.46,133,2,2,2,222,6,Hibernating
13107,2011-10-26 14:52:00,9,5253.07,44,3,4,4,344,11,Loyal
13108,2010-12-02 10:35:00,2,1098.52,373,2,2,3,223,7,Hibernating
13109,2011-10-11 10:16:00,3,1134.03,60,3,2,3,323,8,Potential Loyal
13110,2011-11-08 14:30:00,12,2957.4700000000003,31,3,4,4,344,11,Loyal
13111,2009-12-21 09:00:00,1,321.88000000000005,719,1,1,1,111,3,Lost
13112,2010-06-16 17:03:00,1,20.6,541,1,1,1,111,3,Lost
13113,2011-12-09 12:49:00,37,18625.73,1,4,4,4,444,12,Champion
13114,2009-12-09 09:56:00,1,234.38,731,1,1,1,111,3,Lost
13115,2011-11-28 12:38:00,10,5494.7,12,4,4,4,444,12,Champion
13116,2011-07-24 14:33:00,1,501.14,138,2,1,2,212,5,Hibernating
13117,2011-11-18 12:02:00,18,2643.81,22,4,4,4,444,12,Champion
13118,2011-11-20 12:46:00,9,2415.41,20,4,4,4,444,12,Champion
13119,2010-02-09 08:38:00,1,134.9,669,1,1,1,111,3,Lost
13120,2011-04-15 10:19:00,1,30.599999999999998,239,2,1,1,211,4,Hibernating
13121,2011-03-15 16:47:00,1,283.73,269,2,1,1,211,4,Hibernating
13122,2011-09-06 15:53:00,2,922.39,94,3,2,3,323,8,Potential Loyal
13123,2010-08-24 10:18:00,2,506.75,473,1,2,2,122,5,Lost
13124,2011-09-11 12:45:00,4,4782.45,90,3,3,4,334,10,Loyal
13125,2010-07-04 11:58:00,1,158.57,524,1,1,1,111,3,Lost
13126,2011-12-05 10:00:00,13,3998.25,5,4,4,4,444,12,Champion
13127,2011-09-23 10:26:00,1,259.17,78,3,1,1,311,5,Lost
13128,2010-03-18 15:08:00,1,263.5,631,1,1,1,111,3,Lost
13129,2010-09-13 13:47:00,2,233.25,452,1,2,1,121,4,Lost
13130,2011-09-06 15:30:00,1,64.0,94,3,1,1,311,5,Lost
13131,2011-11-16 13:21:00,7,3313.77,23,4,3,4,434,11,Champion
13132,2011-03-23 12:44:00,1,77.3,262,2,1,1,211,4,Hibernating
13133,2011-03-11 10:31:00,3,200.45000000000002,274,2,2,1,221,5,Hibernating
13134,2011-09-15 10:35:00,6,2475.23,86,3,3,4,334,10,Loyal
13135,2011-05-27 10:52:00,2,3371.45,197,2,2,4,224,8,Hibernating
13136,2011-10-14 13:41:00,13,6274.56,56,3,4,4,344,11,Loyal
13137,2011-11-29 12:09:00,16,7712.7,11,4,4,4,444,12,Champion
13138,2011-11-17 16:51:00,7,1467.24,22,4,3,3,433,10,Champion
13139,2011-11-23 13:54:00,8,8202.98,16,4,4,4,444,12,Champion
13140,2011-08-23 15:33:00,5,1215.68,108,2,3,3,233,8,Cannot Lose
13141,2011-09-16 09:54:00,17,7668.58,85,3,4,4,344,11,Loyal
13142,2011-11-20 16:07:00,1,307.09,19,4,1,1,411,6,New Customer
13143,2010-05-04 12:22:00,1,405.1,585,1,1,2,112,4,Lost
13144,2011-01-11 11:15:00,2,135.35,333,2,2,1,221,5,Hibernating
13145,2011-10-31 12:45:00,7,1423.52,40,3,3,3,333,9,Loyal
13146,2011-11-13 15:29:00,1,228.91,26,4,1,1,411,6,New Customer
13147,2011-11-29 13:59:00,4,712.8000000000001,10,4,3,2,432,9,Champion
13148,2011-11-10 15:23:00,26,8621.81,29,3,4,4,344,11,Loyal
13149,2011-11-25 13:09:00,4,1676.06,14,4,3,3,433,10,Champion
13150,2010-08-12 12:59:00,3,449.96999999999997,484,1,2,2,122,5,Lost
13151,2011-02-17 12:29:00,3,2580.7400000000002,296,2,2,4,224,8,Hibernating
13152,2010-10-18 13:44:00,7,2146.38,417,1,3,3,133,7,Cannot Lose
13153,2011-12-04 12:14:00,1,486.22,6,4,1,2,412,7,New Customer
13154,2010-11-05 16:00:00,3,1624.84,399,1,2,3,123,6,Lost
13155,2011-11-06 15:41:00,6,1750.18,33,3,3,3,333,9,Loyal
13156,2010-11-19 13:09:00,3,1586.54,385,1,2,3,123,6,Lost
13157,2011-10-21 13:50:00,9,5687.36,49,3,4,4,344,11,Loyal
13158,2011-09-06 11:58:00,5,1508.18,95,3,3,3,333,9,Loyal
13159,2011-12-01 11:20:00,4,1437.85,9,4,3,3,433,10,Champion
13160,2011-11-17 13:07:00,1,91.8,22,4,1,1,411,6,New Customer
13161,2011-01-30 14:03:00,2,478.88,313,2,2,2,222,6,Hibernating
13162,2011-08-09 15:59:00,16,9275.49,122,2,4,4,244,10,Cannot Lose
13163,2010-04-08 16:21:00,1,17.65,610,1,1,1,111,3,Lost
